# Source: NASA POWER, power.larc.nasa.gov, S3 Zarr store nasa-power/syn1deg/temporal/power_syn1deg_daily_temporal_utc.zarr
# Variables: ALLSKY_SFC_SW_DWN (GHI), CLRSKY_SFC_SW_DWN, ALLSKY_SFC_SW_DNI, ALLSKY_SFC_SW_DIFF
# Grid resolution: 1-degree (nearest-grid-cell lookup)
# Units raw: W m-2 (daily mean); *_Whm2day = raw * 24 h = daily total Wh/m2/day
# Date range: 2024-08-22 to 2024-08-29 (mirrors BWSC 2027 race window)
# Retrieved: 2026-06-21
location,cumulative_km,lat_grid,lon_grid,date,ghi_Wm2,clrsky_ghi_Wm2,dni_Wm2,diff_Wm2,ghi_Whm2day,clrsky_ghi_Whm2day,dni_Whm2day,diff_Whm2day
Darwin,0,-12.5,130.5,2024-08-22,251.9,267.45,259.82,77.54,6045.6,6418.8,6235.7,1861.0
Darwin,0,-12.5,130.5,2024-08-23,260.3,269.59,273.92,79.18,6247.2,6470.2,6574.1,1900.3
Darwin,0,-12.5,130.5,2024-08-24,250.71,266.32,256.8,73.38,6017.0,6391.7,6163.2,1761.1
Darwin,0,-12.5,130.5,2024-08-25,258.0,268.37,264.39,74.91,6192.0,6440.9,6345.4,1797.8
Darwin,0,-12.5,130.5,2024-08-26,259.36,269.62,256.79,78.68,6224.6,6470.9,6163.0,1888.3
Darwin,0,-12.5,130.5,2024-08-27,263.47,274.02,259.07,81.94,6323.3,6576.5,6217.7,1966.6
Darwin,0,-12.5,130.5,2024-08-28,267.38,276.38,271.7,76.15,6417.1,6633.1,6520.8,1827.6
Darwin,0,-12.5,130.5,2024-08-29,268.86,278.49,296.4,62.98,6452.6,6683.8,7113.6,1511.5
Katherine,310,-14.5,132.5,2024-08-22,268.19,270.35,327.13,41.04,6436.6,6488.4,7851.1,985.0
Katherine,310,-14.5,132.5,2024-08-23,273.78,273.89,347.14,35.95,6570.7,6573.4,8331.4,862.8
Katherine,310,-14.5,132.5,2024-08-24,251.58,268.2,260.86,76.47,6037.9,6436.8,6260.6,1835.3
Katherine,310,-14.5,132.5,2024-08-25,275.13,275.31,346.39,37.38,6603.1,6607.4,8313.4,897.1
Katherine,310,-14.5,132.5,2024-08-26,268.0,268.06,313.68,46.51,6432.0,6433.4,7528.3,1116.2
Katherine,310,-14.5,132.5,2024-08-27,274.69,275.17,339.64,37.05,6592.6,6604.1,8151.4,889.2
Katherine,310,-14.5,132.5,2024-08-28,273.07,276.02,338.62,41.64,6553.7,6624.5,8126.9,999.4
Katherine,310,-14.5,132.5,2024-08-29,279.4,279.56,342.41,37.58,6705.6,6709.4,8217.8,901.9
Daly Waters,580,-16.5,133.5,2024-08-22,260.94,261.23,336.85,34.37,6262.6,6269.5,8084.4,824.9
Daly Waters,580,-16.5,133.5,2024-08-23,266.86,266.97,349.21,32.74,6404.6,6407.3,8381.0,785.8
Daly Waters,580,-16.5,133.5,2024-08-24,263.69,266.06,315.58,48.13,6328.6,6385.4,7573.9,1155.1
Daly Waters,580,-16.5,133.5,2024-08-25,266.03,266.21,328.85,35.94,6384.7,6389.0,7892.4,862.6
Daly Waters,580,-16.5,133.5,2024-08-26,262.87,263.51,320.69,40.46,6308.9,6324.2,7696.6,971.0
Daly Waters,580,-16.5,133.5,2024-08-27,265.59,266.95,309.76,43.44,6374.2,6406.8,7434.2,1042.6
Daly Waters,580,-16.5,133.5,2024-08-28,269.73,269.94,335.83,37.23,6473.5,6478.6,8059.9,893.5
Daly Waters,580,-16.5,133.5,2024-08-29,272.43,272.8,334.86,36.54,6538.3,6547.2,8036.6,877.0
Tennant Creek,850,-19.5,134.5,2024-08-22,247.73,248.19,306.69,43.81,5945.5,5956.6,7360.6,1051.4
Tennant Creek,850,-19.5,134.5,2024-08-23,248.48,248.84,320.65,38.42,5963.5,5972.2,7695.6,922.1
Tennant Creek,850,-19.5,134.5,2024-08-24,252.22,252.5,318.61,39.27,6053.3,6060.0,7646.6,942.5
Tennant Creek,850,-19.5,134.5,2024-08-25,252.27,252.43,310.78,41.44,6054.5,6058.3,7458.7,994.6
Tennant Creek,850,-19.5,134.5,2024-08-26,248.11,248.43,287.32,51.28,5954.6,5962.3,6895.7,1230.7
Tennant Creek,850,-19.5,134.5,2024-08-27,258.56,258.77,313.54,45.4,6205.4,6210.5,7525.0,1089.6
Tennant Creek,850,-19.5,134.5,2024-08-28,263.21,263.46,328.17,39.47,6317.0,6323.0,7876.1,947.3
Tennant Creek,850,-19.5,134.5,2024-08-29,263.71,263.87,330.37,38.19,6329.0,6332.9,7928.9,916.6
Barrow Creek,1120,-21.5,133.5,2024-08-22,249.94,249.99,357.62,27.8,5998.6,5999.8,8582.9,667.2
Barrow Creek,1120,-21.5,133.5,2024-08-23,246.3,246.36,350.16,28.93,5911.2,5912.6,8403.8,694.3
Barrow Creek,1120,-21.5,133.5,2024-08-24,250.06,250.26,354.78,28.68,6001.4,6006.2,8514.7,688.3
Barrow Creek,1120,-21.5,133.5,2024-08-25,248.98,249.78,343.59,30.17,5975.5,5994.7,8246.2,724.1
Barrow Creek,1120,-21.5,133.5,2024-08-26,250.56,250.59,335.29,37.54,6013.4,6014.2,8047.0,901.0
Barrow Creek,1120,-21.5,133.5,2024-08-27,259.45,259.5,361.73,32.24,6226.8,6228.0,8681.5,773.8
Barrow Creek,1120,-21.5,133.5,2024-08-28,262.99,263.02,370.77,29.24,6311.8,6312.5,8898.5,701.8
Barrow Creek,1120,-21.5,133.5,2024-08-29,263.98,264.0,372.95,28.58,6335.5,6336.0,8950.8,685.9
Alice Springs,1400,-23.5,133.5,2024-08-22,242.82,243.27,356.64,28.75,5827.7,5838.5,8559.4,690.0
Alice Springs,1400,-23.5,133.5,2024-08-23,243.28,243.41,358.8,27.06,5838.7,5841.8,8611.2,649.4
Alice Springs,1400,-23.5,133.5,2024-08-24,241.0,241.28,346.67,28.0,5784.0,5790.7,8320.1,672.0
Alice Springs,1400,-23.5,133.5,2024-08-25,233.63,239.97,314.21,36.81,5607.1,5759.3,7541.0,883.4
Alice Springs,1400,-23.5,133.5,2024-08-26,234.71,246.46,261.02,68.82,5633.0,5915.0,6264.5,1651.7
Alice Springs,1400,-23.5,133.5,2024-08-27,251.86,252.31,354.01,33.68,6044.6,6055.4,8496.2,808.3
Alice Springs,1400,-23.5,133.5,2024-08-28,255.13,255.28,369.04,28.51,6123.1,6126.7,8857.0,684.2
Alice Springs,1400,-23.5,133.5,2024-08-29,257.88,257.96,372.13,27.97,6189.1,6191.0,8931.1,671.3
Kulgera,1670,-25.5,133.5,2024-08-22,237.78,240.01,347.83,33.85,5706.7,5760.2,8347.9,812.4
Kulgera,1670,-25.5,133.5,2024-08-23,236.75,238.56,346.24,32.01,5682.0,5725.4,8309.8,768.2
Kulgera,1670,-25.5,133.5,2024-08-24,234.77,237.07,333.76,34.74,5634.5,5689.7,8010.2,833.8
Kulgera,1670,-25.5,133.5,2024-08-25,240.06,242.21,337.72,39.16,5761.4,5813.0,8105.3,939.8
Kulgera,1670,-25.5,133.5,2024-08-26,251.36,251.48,364.05,32.4,6032.6,6035.5,8737.2,777.6
Kulgera,1670,-25.5,133.5,2024-08-27,252.22,252.28,363.57,33.65,6053.3,6054.7,8725.7,807.6
Kulgera,1670,-25.5,133.5,2024-08-28,254.84,254.91,371.97,32.18,6116.2,6117.8,8927.3,772.3
Kulgera,1670,-25.5,133.5,2024-08-29,255.99,256.04,372.3,30.78,6143.8,6145.0,8935.2,738.7
Coober Pedy,2040,-29.5,134.5,2024-08-22,206.45,215.13,266.18,42.87,4954.8,5163.1,6388.3,1028.9
Coober Pedy,2040,-29.5,134.5,2024-08-23,184.02,214.59,195.66,81.24,4416.5,5150.2,4695.8,1949.8
Coober Pedy,2040,-29.5,134.5,2024-08-24,202.97,215.65,275.97,48.68,4871.3,5175.6,6623.3,1168.3
Coober Pedy,2040,-29.5,134.5,2024-08-25,222.87,223.41,311.44,43.48,5348.9,5361.8,7474.6,1043.5
Coober Pedy,2040,-29.5,134.5,2024-08-26,232.9,233.01,371.22,24.77,5589.6,5592.2,8909.3,594.5
Coober Pedy,2040,-29.5,134.5,2024-08-27,231.7,231.95,352.73,28.45,5560.8,5566.8,8465.5,682.8
Coober Pedy,2040,-29.5,134.5,2024-08-28,229.98,230.2,349.68,30.3,5519.5,5524.8,8392.3,727.2
Coober Pedy,2040,-29.5,134.5,2024-08-29,234.46,234.91,351.88,29.33,5627.0,5637.8,8445.1,703.9
Glendambo,2290,-30.5,135.5,2024-08-22,174.76,200.88,162.41,80.36,4194.2,4821.1,3897.8,1928.6
Glendambo,2290,-30.5,135.5,2024-08-23,185.69,209.14,192.48,81.6,4456.6,5019.4,4619.5,1958.4
Glendambo,2290,-30.5,135.5,2024-08-24,175.49,210.05,195.59,75.6,4211.8,5041.2,4694.2,1814.4
Glendambo,2290,-30.5,135.5,2024-08-25,203.67,209.22,221.67,68.3,4888.1,5021.3,5320.1,1639.2
Glendambo,2290,-30.5,135.5,2024-08-26,217.74,225.93,315.55,45.8,5225.8,5422.3,7573.2,1099.2
Glendambo,2290,-30.5,135.5,2024-08-27,219.06,219.27,293.33,49.19,5257.4,5262.5,7039.9,1180.6
Glendambo,2290,-30.5,135.5,2024-08-28,223.65,224.1,347.51,27.1,5367.6,5378.4,8340.2,650.4
Glendambo,2290,-30.5,135.5,2024-08-29,228.06,228.18,345.41,30.23,5473.4,5476.3,8289.8,725.5
Port Augusta,2550,-32.5,137.5,2024-08-22,178.53,199.44,211.73,53.19,4284.7,4786.6,5081.5,1276.6
Port Augusta,2550,-32.5,137.5,2024-08-23,145.07,199.93,167.22,62.83,3481.7,4798.3,4013.3,1507.9
Port Augusta,2550,-32.5,137.5,2024-08-24,132.35,201.46,99.61,87.29,3176.4,4835.0,2390.6,2095.0
Port Augusta,2550,-32.5,137.5,2024-08-25,197.88,213.82,297.16,40.91,4749.1,5131.7,7131.8,981.8
Port Augusta,2550,-32.5,137.5,2024-08-26,203.81,215.76,299.72,45.63,4891.4,5178.2,7193.3,1095.1
Port Augusta,2550,-32.5,137.5,2024-08-27,212.41,214.01,318.08,34.94,5097.8,5136.2,7633.9,838.6
Port Augusta,2550,-32.5,137.5,2024-08-28,218.15,219.55,349.84,28.52,5235.6,5269.2,8396.2,684.5
Port Augusta,2550,-32.5,137.5,2024-08-29,217.91,218.33,340.27,27.42,5229.8,5239.9,8166.5,658.1
Adelaide,3022,-34.5,138.5,2024-08-22,174.12,194.01,243.1,41.05,4178.9,4656.2,5834.4,985.2
Adelaide,3022,-34.5,138.5,2024-08-23,122.58,191.58,164.33,56.64,2941.9,4597.9,3943.9,1359.4
Adelaide,3022,-34.5,138.5,2024-08-24,153.66,199.8,166.24,56.97,3687.8,4795.2,3989.8,1367.3
Adelaide,3022,-34.5,138.5,2024-08-25,138.17,202.06,166.25,65.99,3316.1,4849.4,3990.0,1583.8
Adelaide,3022,-34.5,138.5,2024-08-26,161.74,203.71,213.31,64.01,3881.8,4889.0,5119.4,1536.2
Adelaide,3022,-34.5,138.5,2024-08-27,198.71,209.08,304.25,34.27,4769.0,5017.9,7302.0,822.5
Adelaide,3022,-34.5,138.5,2024-08-28,180.78,208.39,241.31,59.31,4338.7,5001.4,5791.4,1423.4
Adelaide,3022,-34.5,138.5,2024-08-29,202.71,211.01,311.8,38.03,4865.0,5064.2,7483.2,912.7
